periodo;cole_area_ubicacion;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_depto_ubicacion;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_mcpio_presentacion;estu_mcpio_reside;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;2;2;No Navega Internet;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;39;202;39;43;36;44
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A1;3;2;1;;;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;42;232;52;56;49;37
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;2;A-;2;2;2;30 minutos o menos;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;44;206;32;47;36;41
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;2;1;Entre 30 y 60 minutos;No leo por entretenimiento;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;33;177;31;37;41;32
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;2;1;30 minutos o menos;Entre 30 y 60 minutos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;35;186;45;42;41;28
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;2;A-;2;2;1;;;SUCRE;SUCRE;SINCELEJO;CHALÁN;45;221;43;48;44;40
20241;URBANO;170001003375;170001003375;SUCRE;SABATINA;SINCELEJO;NO OFICIAL;INSTITUCIÓN EDUCATIVA LICEO DEL CARIBE;LICEO DEL CARIBE;1;A-;2;1;2;30 minutos o menos;Entre 1 y 2 horas;SUCRE;SUCRE;SINCELEJO;SINCELEJO;35;191;41;48;28;41
20241;URBANO;370215060251;370215060251;SUCRE;SABATINA;COROZAL;NO OFICIAL;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO;INST DE EDUC FORMAL PARA JOVENES Y ADULTOS NUEVO MILENIO - SEDE PRINCIPAL;1;A-;2;1;1;;;SUCRE;SUCRE;SINCELEJO;SUCRE;36;172;35;36;34;31
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;39;178;37;41;28;34
20241;URBANO;370670800018;370670800018;SUCRE;SABATINA;SAMPUÉS;NO OFICIAL;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO;INSTITUCION EDUCATIVA GIMNASIO PEDAGOGICO SAMPUESANO - SEDE PRINCIPAL;1;A-;2;1;1;Entre 1 y 3 horas;30 minutos o menos;SUCRE;SUCRE;SINCELEJO;SAMPUÉS;36;175;27;46;33;28
